SiteID,Lat,Lon,FileName,BenUse,NameOrig
RF101,35.37964,-89.43558,RF101.xml,Y,rfr101
RF102,35.62814,-89.67403,RF102.xml,Y,rfr102
RF103,35.37397,-90.00914,RF103.xml,Y,rfr103
RF104,35.46247,-90.54156,RF104.xml,Y,rfr104
RF105,35.81178,-90.52194,RF105.xml,Y,rfr105
RF106,35.64056,-90.15928,RF106.xml,Y,rfr106
RF107,35.82658,-89.84122,RF107.xml,Y,rfr107
RF108,36.07458,-89.98167,RF108.xml,Y,rfr108
RF109,36.09594,-90.381,RF109.xml,Y,rfr109
RF110,36.10042,-90.83436,RF110.xml,Y,rfr110
RF111,36.44253,-90.74033,RF111.xml,Y,rfr111
RF112,36.05933,-88.94553,RF112.xml,N,rfr112
RF113,36.27472,-89.07314,RF113.xml,Y,rfr113
RF114,36.52033,-88.97181,RF114.xml,N,rfr114
RF115,36.57767,-88.56672,RF115.xml,Y,rfr115
RF116,36.61114,-88.14986,RF116.xml,Y,rfr116
RF117,36.75719,-88.81428,RF117.xml,Y,rfr117
RF118,36.92017,-89.19725,RF118.xml,Y,rfr118
RF119,36.67469,-89.74694,RF119.xml,Y,rfr119
RF120,36.85078,-89.91944,RF120.xml,Y,rfr120
RF121,37.19428,-90.19783,RF121.xml,Y,rfr121
RF122,37.46781,-89.68058,RF122.xml,Y,rfr122
RF123,37.59756,-89.28308,RF123.xml,Y,rfr123
RF124,37.49767,-88.72553,RF124.xml,Y,rfr124
RF125,37.06194,-88.82997,RF125.xml,Y,rfr125
RF126,37.23681,-88.52011,RF126.xml,Y,rfr126
RF127,37.63592,-88.35739,RF127.xml,Y,rfr127
RF128,37.39436,-88.06617,RF128.xml,Y,rfr128
RF129,37.1275,-87.97836,RF129.xml,Y,rfr129
RF130,36.86811,-88.06386,RF130.xml,N,rfr130
RF201,36.52789,-91.79406,RF201.xml,Y,rfr201
RF202,36.6545,-91.68361,RF202.xml,Y,rfr202
RF203,36.78478,-91.58297,RF203.xml,Y,rfr203
RF204,36.84017,-91.56608,RF204.xml,Y,rfr204
RF205,36.91692,-91.50994,RF205.xml,Y,rfr205
RF206,37.02228,-91.42919,RF206.xml,N,rfr206
RF207,37.07997,-91.42736,RF207.xml,N,rfr207
RF208,37.14797,-91.35133,RF208.xml,N,rfr208
RF209,37.22,-91.27797,RF209.xml,Y,rfr209
RF210,37.27453,-91.24669,RF210.xml,Y,rfr210
RF211,37.33336,-91.21808,RF211.xml,Y,rfr211
RF212,37.39736,-91.17872,RF212.xml,Y,rfr212
RF213,37.46483,-91.1405,RF213.xml,Y,rfr213
RF214,37.52217,-91.06261,RF214.xml,Y,rfr214
RF215,37.58483,-91.03039,RF215.xml,Y,rfr215
RF216,37.66211,-90.98472,RF216.xml,Y,rfr216
RF217,37.73392,-90.93333,RF217.xml,Y,rfr217
RF301,36.88892,-90.52411,RF301.xml,Y,rfr301
RF302,36.84528,-90.39133,RF302.xml,Y,rfr302
RF303,36.70244,-90.33678,RF303.xml,Y,rfr303
RF304,36.66825,-90.24875,RF304.xml,N,rfr304
RF305,36.62067,-90.20181,RF305.xml,Y,rfr305
RF306,36.57233,-90.1475,RF306.xml,N,rfr306
RF307,36.53236,-90.10644,RF307.xml,Y,rfr307
RF308,36.47678,-90.04444,RF308.xml,Y,rfr308
RF309,36.43361,-90.01158,RF309.xml,Y,rfr309
RF310,36.38158,-89.93836,RF310.xml,Y,rfr310
RF311,36.32317,-89.87114,RF311.xml,Y,rfr311
RF312,36.28458,-89.83108,RF312.xml,Y,rfr312
RF313,36.23769,-89.78153,RF313.xml,Y,rfr313
RF314,36.17828,-89.70883,RF314.xml,Y,rfr314
RF315,36.13133,-89.648,RF315.xml,Y,rfr315
RF316,36.06461,-89.57311,RF316.xml,Y,rfr316
RF317,36.01425,-89.51253,RF317.xml,Y,rfr317
RF318,35.93069,-89.4945,RF318.xml,Y,rfr318
RF319,35.91294,-89.39731,RF319.xml,Y,rfr319
RF320,35.79644,-89.28847,RF320.xml,Y,rfr320
RF321,35.71986,-89.21306,RF321.xml,Y,rfr321
RF401,35.13417,-89.21953,RF401.xml,Y,rfr401
RF402,35.27906,-89.10975,RF402.xml,N,rfr402
RF403,35.38847,-88.98622,RF403.xml,Y,rfr403
RF404,35.53828,-88.87878,RF404.xml,N,rfr404
RF405,35.68931,-88.70922,RF405.xml,N,rfr405
RF406,35.80889,-88.64017,RF406.xml,Y,rfr406
RF407,35.91119,-88.53631,RF407.xml,Y,rfr407
RF408,36.05767,-88.4095,RF408.xml,Y,rfr408
RF409,36.18339,-88.27792,RF409.xml,Y,rfr409
RF410,36.30708,-88.18133,RF410.xml,Y,rfr410
RF411,36.4765,-88.03308,RF411.xml,Y,rfr411
RF412,36.56761,-87.93253,RF412.xml,Y,rfr412
SFM01,39.26931,-92.488,SFM01.xml,N,sfm001
SFM02,39.08219,-91.8185,SFM02.xml,N,sfm002
SFM04,39.15719,-89.88189,SFM04.xml,N,sfm004
SFM06,38.286,-89.40769,SFM06.xml,Y,sfm006
SFM07,38.46461,-90.156,SFM07.xml,N,sfm007
SFM09,38.57861,-91.769,SFM09.xml,N,sfm009
SFM10,38.52439,-92.74689,SFM10.xml,Y,sfm010
SFM12,37.84439,-92.0425,SFM12.xml,Y,sfm012
SFM13,37.89661,-91.19139,SFM13.xml,Y,sfm013
SFM14,37.83161,-90.24731,SFM14.xml,Y,sfm014
SFM15,37.79431,-89.512,SFM15.xml,Y,sfm015
SFM16,37.75331,-88.78161,SFM16.xml,Y,sfm016
SFM17,37.28639,-89.13669,SFM17.xml,Y,sfm017
SFM18,37.21069,-89.34489,SFM18.xml,Y,sfm018
SFM19,37.25681,-90.513,SFM19.xml,Y,sfm019
SFM20,37.35039,-91.4035,SFM20.xml,Y,sfm020
SFM21,37.3655,-92.2665,SFM21.xml,Y,sfm021
SFM22,36.75819,-92.82439,SFM22.xml,Y,sfm022
SFM23,36.66361,-91.50689,SFM23.xml,Y,sfm023
SFM24,36.70419,-90.72789,SFM24.xml,Y,sfm024
SFM25,36.555,-90.04311,SFM25.xml,Y,sfm025
SFM26,36.64081,-89.29,SFM26.xml,Y,sfm026
SFM29,38.36611,-89.81031,SFM29.xml,Y,sfm029
